"District
(Khet)",Area (sq m)
Bang Bon,34.74
Bang Kapi,28.52
Bang Khae,44.46
Bang Khen,42.12
Bang Kho Laem,10.92
Bang Khun Thian,120.7
Bang Na,18.789
Bang Phlat,11.36
Bang Rak,5.54
Bang Sue,11.5
Bangkok Noi,11.94
Bangkok Yai,6.18
Bueng Kum,24.31
Chatuchak,32.91
Chom Thong,26.265
Din Daeng,8.4
Don Mueang,36.803
Dusit,10.7
Huai Khwang,15.0317
Khan Na Yao,25.98
Khlong Sam Wa,110.7
Khlong San,6.87
Khlong Toei,13.0
Lak Si,22.841
Lat Krabang,123.9
Lat Phrao,21.5
Min Buri,63.64
Nong Chok,236.3
Nong Khaem,35.82
Pathum Wan,8.37
Phasi Charoen,17.83
Phaya Thai,9.59
Phra Khanong,13.99
Phra Nakhon,5.536
Pom Prap Sattru Phai,1.931
Prawet,52.5
Rat Burana,15.78
Ratchathewi,7.126
Sai Mai,44.62
Samphanthawong,1.416
Saphan Sung,28.12
Sathon,9.326
Suan Luang,23.68
Taling Chan,29.48
Thawi Watthana,50.22
Thon Buri,8.551
Thung Khru,30.74
Wang Thonglang,18.9
Watthana,12.56
Yan Nawa,16.66
